,name,similarity_rhythm,similarity_pitch,repetitiveness,Randomness,human-like,substring_rhythm,substring_pitch,substring_output,mean_squared
0,890-177,7,6,5,3,7,130,59,6,0.028
1,570-710,5,6,2,8,4,131,142,6,0.014
2,55-269,6,7,9,2,2,110,107,7,0.004
3,883-678,7,5,4,5,7,116,110,7,0.03
4,190-469,7,6,5,6,7,51,166,8,0.007
5,431-604,5,6,4,7,6,109,141,8,0.005
6,379-571,6,3,2,6,9,141,83,8,0.014
7,346-519,4,2,1,10,2,61,41,8,0.021
8,303-752,7,5,7,4,7,135,117,12,0.01
9,638-653,3,5,2,10,2,147,136,12,0.013
10,369-604,7,6,7,6,7,82,141,8,0.009
11,161-117,7,8,3,7,9,60,77,8,0.007
12,584-530,8,8,3,8,6,59,114,7,0.019
13,758-433,6,3,5,4,9,79,134,7,0.006
14,636-746,6,7,8,9,3,108,126,5,0.015
15,903-755,4,2,7,3,7,109,30,5,0.007
16,460-270,7,5,5,8,3,99,119,10,0.006
17,462-388,6,4,3,5,8,119,81,10,0.013
18,265-864,4,3,3,8,9,105,98,7,0.021
19,309-111,7,4,3,8,7,123,141,7,0.019
20,116-185,7,4,5,7,8,94,136,8,0.005
21,399-109,7,5,2,8,3,124,120,8,0.004
22,147-273,4,8,3,8,8,87,138,6,0.007
23,435-261,2,7,3,7,5,86,79,6,0.027
24,832-672,8,6,4,4,6,94,74,10,0.007
25,594-31,6,4,7,8,5,88,48,10,0.01
26,579-111,5,4,4,7,5,107,141,7,0.018
27,781-247,7,5,6,6,6,149,138,7,0.012
28,46-137,4,5,7,3,7,157,144,8,0.006
29,343-638,7,4,4,9,3,147,147,8,0.016